,Avg,StdDev,nMeas,Type
2017-09-25 18:21:37,0.0005918690432,5.86243660286e-07,5.0,voltage:dc
2017-09-25 18:23:37,0.0005941849088,3.54709823998e-07,5.0,voltage:dc
2017-09-25 18:25:37,0.00059589888,2.8819139311500003e-07,5.0,voltage:dc
2017-09-25 18:27:37,0.0005958359552,4.38830019337e-07,5.0,voltage:dc
2017-09-25 18:29:37,0.0005976375168,4.07577027171e-07,5.0,voltage:dc
2017-09-25 18:31:37,0.0005958183552000001,4.6226267839399995e-07,5.0,voltage:dc
2017-09-25 18:33:37,0.0005988791168,3.7991289779299997e-07,5.0,voltage:dc
2017-09-25 18:35:37,0.0005984117887999999,4.17203745474e-07,5.0,voltage:dc
2017-09-25 18:37:37,0.0005991473407999999,1.66483604351e-07,5.0,voltage:dc
2017-09-25 18:39:37,0.0005981817984,5.6043730926e-07,5.0,voltage:dc
2017-09-25 18:41:37,0.0005995154687999999,3.33802007619e-07,5.0,voltage:dc
2017-09-25 18:43:37,0.0005990888064,7.238846793359998e-07,5.0,voltage:dc
2017-09-25 18:45:37,0.0005995317247999999,6.32667382343e-07,5.0,voltage:dc
2017-09-25 18:47:37,0.0005992205824,6.29855361365e-07,5.0,voltage:dc
2017-09-25 18:49:37,0.0005990510464,6.51768308643e-07,5.0,voltage:dc
2017-09-25 18:51:37,0.0006007152384,4.59236256197e-07,5.0,voltage:dc
2017-09-25 18:53:37,0.0005990889856000001,3.85124458384e-07,5.0,voltage:dc
2017-09-25 18:55:37,0.0006005488,6.47050375387e-07,5.0,voltage:dc
2017-09-25 18:57:37,0.0005997598208,3.48193394634e-07,5.0,voltage:dc
2017-09-25 18:59:37,0.0005999087232,5.14817434349e-07,5.0,voltage:dc
2017-09-25 19:01:37,0.0006004890879999999,8.13991366244e-07,5.0,voltage:dc
2017-09-25 19:06:37,0.0006004463104,6.85518036835e-07,5.0,voltage:dc
2017-09-25 19:11:37,0.0006000247552000001,3.3839437104e-07,5.0,voltage:dc
2017-09-25 19:16:37,0.0006003878016,4.948060068680001e-07,5.0,voltage:dc
2017-09-25 19:21:37,0.0006010059392,5.90500071424e-07,5.0,voltage:dc
2017-09-25 19:26:37,0.0006025518592,3.54895144766e-07,5.0,voltage:dc
2017-09-25 19:31:37,0.000601672064,4.4301198310799997e-07,5.0,voltage:dc
2017-09-25 19:36:37,0.0006025542144,3.91040669538e-07,5.0,voltage:dc
2017-09-25 19:41:37,0.0006027102847999999,1.87549225409e-07,5.0,voltage:dc
2017-09-25 19:46:37,0.0006039326592000001,5.57928969509e-07,5.0,voltage:dc
2017-09-25 19:51:37,0.0006043864832,3.31666000036e-07,5.0,voltage:dc
2017-09-25 19:56:37,0.0006057151359999999,5.7103768225900006e-08,5.0,voltage:dc
2017-09-25 20:01:37,0.0006057617664,3.1834264079899996e-07,5.0,voltage:dc
2017-09-25 20:06:37,0.0006069700096,5.41688962676e-07,5.0,voltage:dc
2017-09-25 20:11:37,0.0006063536128,8.54379558491e-07,5.0,voltage:dc
2017-09-25 20:16:37,0.0006067244032,2.0864925584400002e-07,5.0,voltage:dc
2017-09-25 20:21:37,0.0006078705536000001,4.772846856869999e-07,5.0,voltage:dc
2017-09-25 20:26:37,0.0006078771712,8.89227458017e-07,5.0,voltage:dc
2017-09-25 20:31:37,0.0006089192063999999,2.91382652448e-07,5.0,voltage:dc
2017-09-25 20:36:37,0.0006080119552,4.77735525739e-07,5.0,voltage:dc
2017-09-25 20:41:37,0.0006092058624,3.64047890736e-07,5.0,voltage:dc
2017-09-25 21:11:37,0.0006114229887999999,4.81566618314e-07,5.0,voltage:dc
2017-09-25 21:41:37,0.0006105068287999999,4.0608181741399997e-07,5.0,voltage:dc
2017-09-25 22:11:37,0.0006097899648,5.68004454959e-07,5.0,voltage:dc
2017-09-25 22:41:37,0.0006109263872000001,3.03943155679e-07,5.0,voltage:dc
2017-09-25 23:11:37,0.0006098191104,1.97969521527e-07,5.0,voltage:dc
2017-09-25 23:41:37,0.000609566016,7.02067260559e-07,5.0,voltage:dc
2017-09-26 00:11:37,0.0006076631936,4.79515424907e-07,5.0,voltage:dc
2017-09-26 00:41:37,0.000606200448,1.06872403965e-06,5.0,voltage:dc
2017-09-26 01:11:37,0.0006055251584,4.6991330050100004e-07,5.0,voltage:dc
2017-09-26 01:41:37,0.0006069844864,6.25588390325e-07,5.0,voltage:dc
2017-09-26 02:11:37,0.0006046340096,5.42299756693e-07,5.0,voltage:dc
2017-09-26 02:41:37,0.000604935616,2.47166584771e-07,5.0,voltage:dc
2017-09-26 03:11:37,0.0006036928384,3.58547989104e-07,5.0,voltage:dc
2017-09-26 03:41:37,0.0006022257152000001,4.953870238e-07,5.0,voltage:dc
2017-09-26 04:11:37,0.0006019768704,6.58239562049e-07,5.0,voltage:dc
2017-09-26 04:41:37,0.0006032646400000001,4.61938137559e-07,5.0,voltage:dc
2017-09-26 05:11:37,0.0006022687488,5.4174453378e-07,5.0,voltage:dc
2017-09-26 05:41:37,0.0005997391743999999,4.4440834021e-07,5.0,voltage:dc
2017-09-26 06:11:37,0.0005977006976000001,7.54621826787e-07,5.0,voltage:dc
2017-09-26 10:15:06,0.0005878898432,8.377833275529714e-07,5.0,voltage:dc
2017-09-26 10:20:06,0.0005867405183999999,5.363536922686867e-07,5.0,voltage:dc
2017-09-26 10:25:06,0.0005866916992000001,5.204957843680959e-07,5.0,voltage:dc
2017-09-26 10:30:06,0.0005863112064,3.1645722864084604e-07,5.0,voltage:dc
2017-09-26 10:35:06,0.0005827188736,3.765752790747597e-07,5.0,voltage:dc
2017-09-26 10:40:06,0.0005836592896000001,5.470146569479045e-07,5.0,voltage:dc
2017-09-26 10:45:06,0.0005842790016,6.03562924759831e-07,5.0,voltage:dc
2017-09-26 10:50:06,0.0005831786752,5.301419212997143e-07,5.0,voltage:dc
2017-09-26 10:55:06,0.0005820742144,4.6668360037419007e-07,5.0,voltage:dc
2017-09-26 11:00:06,0.0005806218624,4.865878030701661e-07,5.0,voltage:dc
2017-09-26 11:05:06,0.0005783396224,9.691357622149046e-07,5.0,voltage:dc
2017-09-26 11:10:06,0.000578054528,7.300934381932331e-07,5.0,voltage:dc
2017-09-26 11:15:06,0.0005765377407999999,5.240894364615407e-07,5.0,voltage:dc
2017-09-26 11:20:06,0.0005737094656000001,1.711832137116348e-07,5.0,voltage:dc
2017-09-26 11:25:06,0.0005723338623999999,3.324218075118156e-07,5.0,voltage:dc
2017-09-26 11:30:06,0.0005654992256,3.6409594397608534e-07,5.0,voltage:dc
2017-09-26 11:35:06,0.0005599365504,5.410975289101312e-07,5.0,voltage:dc
2017-09-26 11:40:06,0.0005613943424,3.7310311283911646e-07,5.0,voltage:dc
2017-09-26 11:45:06,0.000559146368,5.542078719556492e-07,5.0,voltage:dc
2017-09-26 11:50:06,0.0005536048768000001,5.365463433025615e-07,5.0,voltage:dc
2017-09-26 11:55:06,0.0005564803712,5.76116111888004e-07,5.0,voltage:dc
2017-09-26 12:00:06,0.0005557717632000001,3.6947086234365047e-07,5.0,voltage:dc
2017-09-26 12:05:06,0.0005569787263999999,4.268378415884156e-07,5.0,voltage:dc
2017-09-26 12:10:06,0.000557005056,5.154932019353985e-07,5.0,voltage:dc
2017-09-26 12:15:06,0.0005581489664,2.813259396568747e-07,5.0,voltage:dc
2017-09-26 12:20:06,0.0005599673727999999,3.3082623166995943e-07,5.0,voltage:dc
2017-09-26 12:25:06,0.0005602851072000001,3.206504043661259e-07,5.0,voltage:dc
2017-09-26 12:30:06,0.0005607311743999999,6.422227202139651e-07,5.0,voltage:dc
2017-09-26 12:35:06,0.000562254784,2.9219025998824103e-07,5.0,voltage:dc
2017-09-26 12:40:06,0.0005635597056,4.1687278014551616e-07,5.0,voltage:dc
2017-09-26 12:45:06,0.000564660544,5.459765721684478e-07,5.0,voltage:dc
2017-09-26 12:50:06,0.0005658280448,3.601827851557688e-07,5.0,voltage:dc
2017-09-26 12:55:06,0.0005650520746666668,2.2809458934595732e-07,3.0,voltage:dc
2017-09-26 13:00:06,0.000566053184,6.676342759325633e-07,5.0,voltage:dc
2017-09-26 13:05:06,0.0005681075839999999,3.638751729700845e-07,5.0,voltage:dc
2017-09-26 13:10:06,0.0005687675136000001,2.966744906119106e-07,5.0,voltage:dc
2017-09-26 13:15:06,0.0005696381952000001,5.712694397589958e-07,5.0,voltage:dc
2017-09-26 13:20:06,0.0005696304,5.084200410715415e-07,5.0,voltage:dc
2017-09-26 13:25:06,0.0005708340223999999,3.0258507091895946e-07,5.0,voltage:dc
2017-09-26 13:30:06,0.0005710247552,3.972570980624244e-07,5.0,voltage:dc
2017-09-26 13:35:06,0.0005714016,4.273372581893743e-07,5.0,voltage:dc
2017-09-26 14:05:06,0.0005716872576,2.5765769085171463e-07,5.0,voltage:dc
2017-09-26 14:35:06,0.0005727049728,2.9479917675215953e-07,5.0,voltage:dc
2017-09-26 15:05:06,0.0005738558592000001,5.284059676053578e-07,5.0,voltage:dc
2017-09-26 15:35:06,0.0005726042751999999,2.8893965507999306e-07,5.0,voltage:dc
2017-09-26 16:05:06,0.0005747567488,5.638232368359507e-07,5.0,voltage:dc
2017-09-26 16:35:06,0.0005730553728,8.818063346198571e-08,5.0,voltage:dc
2017-09-26 17:05:06,0.0005759201664000001,6.696117984987038e-07,5.0,voltage:dc
2017-09-26 17:35:06,0.0005745324543999999,6.501670593420197e-07,5.0,voltage:dc
2017-09-26 18:05:06,0.0005643924992000001,1.9617300796024694e-07,5.0,voltage:dc
2017-09-26 18:35:06,0.0005667354368,5.000227925326671e-07,5.0,voltage:dc
2017-09-26 19:05:06,0.0005618490624,4.34630223910692e-07,5.0,voltage:dc
2017-09-26 19:35:06,0.0005688598143999999,3.3181733224026426e-07,5.0,voltage:dc
2017-09-26 20:05:06,0.0005717782272,5.203261219221653e-07,5.0,voltage:dc
2017-09-26 20:35:06,0.0005734243327999999,5.505139073201907e-07,5.0,voltage:dc
2017-09-26 21:05:06,0.0005704899456,1.5642020865042507e-07,5.0,voltage:dc
2017-09-26 21:35:06,0.0005659265536000001,6.122086636255901e-07,5.0,voltage:dc
2017-09-26 22:05:06,0.0005684340992,2.414678675289205e-07,5.0,voltage:dc
2017-09-26 22:35:06,0.0005595333248,5.004129762179864e-07,5.0,voltage:dc
2017-09-26 23:05:06,0.000557235328,2.1588738943070425e-07,5.0,voltage:dc
2017-09-26 23:35:06,0.0005607711104,8.524242966545635e-07,5.0,voltage:dc
2017-09-27 00:05:06,0.0005637341952,7.609940418558681e-07,5.0,voltage:dc
2017-09-27 00:35:06,0.0005651674880000001,2.6155901917541577e-07,5.0,voltage:dc
2017-09-27 01:05:06,0.0005682390656,2.800381022029853e-07,5.0,voltage:dc
2017-09-27 01:35:06,0.0005667692160000001,3.8045322886472456e-07,5.0,voltage:dc
2017-09-27 02:05:06,0.0005660865408,1.0714266282746305e-07,5.0,voltage:dc
2017-09-27 02:35:06,0.0005663496704,4.306020880625493e-07,5.0,voltage:dc
2017-09-27 03:05:06,0.0005666646015999999,5.713167313865822e-07,5.0,voltage:dc
2017-09-27 03:35:06,0.0005663574400000001,4.052870732900263e-07,5.0,voltage:dc
2017-09-27 04:05:06,0.0005666309887999999,4.258651207198915e-07,5.0,voltage:dc
2017-09-27 04:35:06,0.0005663268223999999,5.324023383365857e-07,5.0,voltage:dc
2017-09-27 05:05:06,0.000564847552,3.511434897223569e-07,5.0,voltage:dc
2017-09-27 05:35:06,0.0005655687295999999,5.502570346045987e-07,5.0,voltage:dc
2017-09-27 06:05:06,0.0005618719744,3.975125753510926e-07,5.0,voltage:dc
2017-09-27 06:35:06,0.0005624877824,5.177033329286339e-07,5.0,voltage:dc
2017-09-27 07:05:06,0.0005639641856,5.584372135313273e-07,5.0,voltage:dc
2017-09-27 07:35:06,0.0005605623296000001,4.6949777199796647e-07,5.0,voltage:dc
2017-09-27 08:05:06,0.0005615360128,6.165958246678118e-07,5.0,voltage:dc
2017-09-27 08:35:06,0.0005605168128,3.953573949764424e-07,5.0,voltage:dc
2017-09-27 09:05:06,0.0005608039168,4.433021902577817e-07,5.0,voltage:dc
2017-09-27 09:35:06,0.0005592836480000001,3.467559382574552e-07,5.0,voltage:dc
2017-09-27 10:05:06,0.0005592450047999999,5.048752783071835e-07,5.0,voltage:dc
2017-09-27 10:18:26,0.0005547676672,2.609357385950836e-07,5.0,voltage:dc
2017-09-27 10:23:26,0.0005555546624,3.528491833435944e-07,5.0,voltage:dc
2017-09-27 10:28:26,0.0005558516736000001,7.447286949222853e-07,5.0,voltage:dc
2017-09-27 10:33:26,0.0005557378048,5.739407462233025e-07,5.0,voltage:dc
2017-09-27 10:38:26,0.0005553318655999999,6.111947521115133e-07,5.0,voltage:dc
2017-09-27 10:43:26,0.0005539181952000001,4.683635342006894e-07,5.0,voltage:dc
2017-09-27 10:48:26,0.000554664448,6.915356838203026e-07,5.0,voltage:dc
2017-09-27 10:53:26,0.0005544283904,2.1207831950444848e-07,5.0,voltage:dc
2017-09-27 10:58:26,0.000554441472,3.990934939818486e-07,3.0,voltage:dc
2017-09-27 11:03:26,0.0005553842048,4.915956665091461e-07,5.0,voltage:dc
2017-09-27 11:08:26,0.0005551389184000001,5.337803577508676e-07,5.0,voltage:dc
2017-09-27 11:13:26,0.0005552506879999999,5.427540532712695e-07,5.0,voltage:dc
2017-09-27 11:18:26,0.00055500032,7.379120368694454e-07,5.0,voltage:dc
2017-09-27 11:23:26,0.0005558115584,4.903109874035459e-07,5.0,voltage:dc
2017-09-27 11:28:26,0.0005569825536000001,4.582005303225231e-07,5.0,voltage:dc
2017-09-27 11:33:26,0.0005573442304000001,3.124052830447237e-07,5.0,voltage:dc
2017-09-27 11:38:26,0.0005577787519999999,1.755648485272743e-07,5.0,voltage:dc
2017-09-27 11:43:26,0.0005574258175999999,2.0586020218935288e-07,5.0,voltage:dc
2017-09-27 11:48:26,0.0005563332095999999,3.0285108529284206e-07,5.0,voltage:dc
2017-09-27 11:53:26,0.00055642592,4.4363874520062237e-07,5.0,voltage:dc
2017-09-27 11:58:26,0.0005560171648,5.720299541158445e-07,5.0,voltage:dc
2017-09-27 12:03:26,0.0005563447936,5.865064066820309e-07,5.0,voltage:dc
2017-09-27 12:08:26,0.000556660352,2.819983073991537e-07,5.0,voltage:dc
2017-09-27 12:13:26,0.0005557108266666667,4.263146611954691e-07,3.0,voltage:dc
2017-09-27 12:18:26,0.0005563995647999999,4.4175653369447493e-07,5.0,voltage:dc
2017-09-27 12:23:26,0.0005561585151999999,2.617170254014277e-07,5.0,voltage:dc
2017-09-27 12:28:26,0.0005566870784,5.172556188105112e-07,5.0,voltage:dc
2017-09-27 12:33:26,0.0005573198848,4.504198643889444e-07,5.0,voltage:dc
2017-09-27 12:38:26,0.0005564403328,3.6085387920897276e-07,5.0,voltage:dc
2017-09-27 12:43:26,0.0005573165824,4.666118004275345e-07,5.0,voltage:dc
2017-09-27 12:48:26,0.0005572718848000001,4.705466153445098e-07,5.0,voltage:dc
2017-09-27 12:53:26,0.0005568956672,2.9779009333584453e-07,5.0,voltage:dc
2017-09-27 12:58:26,0.0005561684735999999,7.376951571140007e-07,5.0,voltage:dc
2017-09-27 13:03:26,0.0005569422592,4.983943733512142e-07,5.0,voltage:dc
2017-09-27 13:08:26,0.0005555679616,3.744814835911504e-07,5.0,voltage:dc
2017-09-27 13:13:26,0.0005551842943999999,5.983589271551375e-07,5.0,voltage:dc
2017-09-27 13:18:26,0.0005503570176,3.161203164730643e-07,5.0,voltage:dc
2017-09-27 13:23:26,0.0005502223744,3.9022338635892795e-07,5.0,voltage:dc
2017-09-27 13:28:26,0.0005501281408,7.639880762311234e-07,5.0,voltage:dc
2017-09-27 13:33:26,0.0005501842432,5.428101832995801e-07,5.0,voltage:dc
2017-09-27 13:38:26,0.000550287616,4.967848613474534e-07,5.0,voltage:dc
2017-09-27 14:08:26,0.0005444284288000001,4.4256573062377554e-07,5.0,voltage:dc
2017-09-27 14:38:26,0.0005331015872,2.9242197733439484e-07,5.0,voltage:dc
2017-09-27 15:08:26,0.000538684992,6.136153095769427e-07,5.0,voltage:dc
2017-09-27 15:38:26,0.0005454527616000001,5.888067235789985e-07,5.0,voltage:dc
2017-09-27 16:08:26,0.0005490234239999999,5.844555030617913e-07,5.0,voltage:dc
